episode,phase,ep_reward,ep_length,failure,n_repairs,n_replaces,epsilon,eval_catast,eval_mean_cost
473,train,-420.4,68,1,0,19,0.86872,,
474,train,-933.0,188,1,0,68,0.86846,,
475,train,-1799.65,400,0,2,125,0.86821,,
476,train,-1398.817,287,1,0,76,0.86795,,
477,train,-1510.8,337,1,0,93,0.8677,,
478,train,-700.495,149,1,0,31,0.86744,,
479,train,-393.8,65,1,0,19,0.86719,,
480,train,-398.4,75,1,0,17,0.86693,,
481,train,-1348.3,246,1,0,62,0.86667,,
482,train,-256.6,43,1,0,13,0.86642,,
483,train,-1422.1,279,1,0,82,0.86616,,
484,train,-1710.31,400,0,0,121,0.86591,,
485,train,-911.218,187,1,0,54,0.86565,,
486,train,-1857.478,400,0,0,122,0.8654,,
487,train,-1770.349,400,0,0,119,0.86514,,
488,train,-1865.589,400,0,9,110,0.86489,,
489,train,-249.1,37,1,0,11,0.86463,,
490,train,-1675.176,400,0,0,123,0.86438,,
491,train,-1696.458,339,1,0,111,0.86412,,
492,train,-447.2,66,1,0,22,0.86387,,
493,train,-766.3,141,1,0,53,0.86361,,
494,train,-804.3,149,1,0,55,0.86336,,
495,train,-1816.446,400,0,1,93,0.8631,,
496,train,-210.093,26,1,0,8,0.86285,,
497,train,-1597.631,333,1,0,95,0.8626,,
498,train,-931.389,183,1,0,53,0.86234,,
499,train,-549.27,104,1,0,27,0.86209,,
500,train,-1656.8,400,0,0,97,0.86183,,
501,train,-1937.85,400,0,1,122,0.86158,,
502,train,-124.1,4,1,0,3,0.86133,,
503,train,-1409.32,298,1,0,72,0.86107,,
504,train,-1845.145,400,0,4,109,0.86082,,
505,train,-1721.376,400,0,2,105,0.86056,,
506,train,-1697.71,400,0,2,121,0.86031,,
507,train,-461.743,96,1,0,24,0.86006,,
508,train,-1836.87,400,0,2,105,0.8598,,
509,train,-962.64,198,1,0,61,0.85955,,
510,train,-1524.507,321,1,0,89,0.8593,,
511,train,-970.388,192,1,0,48,0.85905,,
512,train,-1140.1,234,1,0,64,0.85879,,
513,train,-536.5,88,1,0,23,0.85854,,
514,train,-941.563,187,1,0,60,0.85829,,
515,train,-1233.6,243,1,0,86,0.85803,,
516,train,-357.4,65,1,0,21,0.85778,,
517,train,-392.1,80,1,0,24,0.85753,,
518,train,-833.45,170,1,0,55,0.85728,,
519,train,-442.2,61,1,0,22,0.85702,,
520,train,-1761.156,366,1,0,109,0.85677,,
521,train,-782.48,152,1,0,43,0.85652,,
522,train,-218.1,32,1,0,9,0.85627,,
523,train,-1753.413,400,0,3,106,0.85602,,
524,train,-789.621,164,1,0,47,0.85576,,
525,train,-1262.949,269,1,0,78,0.85551,,
526,train,-1739.323,379,1,0,101,0.85526,,
527,train,-1363.161,280,1,0,84,0.85501,,
528,train,-322.3,51,1,0,9,0.85476,,
529,train,-553.0,105,1,0,27,0.8545,,
530,train,-1614.374,400,0,1,92,0.85425,,
531,train,-846.1,173,1,0,61,0.854,,
532,train,-1423.376,266,1,0,93,0.85375,,
533,train,-199.07,19,1,0,4,0.8535,,
534,train,-1641.198,400,0,0,102,0.85325,,
535,train,-1751.9,400,0,2,110,0.853,,
536,train,-1727.065,400,0,2,115,0.85275,,
537,train,-1395.003,308,1,0,83,0.8525,,
538,train,-159.639,14,1,0,6,0.85224,,
539,train,-1723.366,400,0,0,112,0.85199,,
540,train,-367.549,55,1,0,15,0.85174,,
541,train,-1070.27,194,1,0,70,0.85149,,
542,train,-317.054,53,1,0,15,0.85124,,
543,train,-697.6,106,1,0,17,0.85099,,
544,train,-1180.487,238,1,0,82,0.85074,,
545,train,-1221.718,257,1,0,57,0.85049,,
546,train,-848.6,153,1,0,47,0.85024,,
547,train,-113.5,2,1,0,1,0.84999,,
548,train,-341.3,56,1,0,17,0.84974,,
549,train,-987.845,186,1,0,54,0.84949,,
550,train,-469.0,96,1,0,22,0.84924,,
551,train,-572.1,122,1,0,32,0.84899,,
552,train,-830.152,162,1,0,52,0.84874,,
553,train,-1495.91,304,1,0,88,0.84849,,
554,train,-109.1,1,1,0,0,0.84824,,
555,train,-433.6,80,1,0,20,0.84799,,
556,train,-866.9,189,1,0,52,0.84774,,
557,train,-191.052,24,1,0,7,0.8475,,
558,train,-1577.6,400,0,2,101,0.84725,,
559,train,-501.849,91,1,0,25,0.847,,
560,train,-648.0,132,1,0,35,0.84675,,
561,train,-313.4,53,1,0,14,0.8465,,
562,train,-1780.071,400,1,0,108,0.84625,,
563,train,-1551.078,323,1,0,77,0.846,,
